idx,Query,Restaurant Name,Address,URL,Restaurant URL,Cuisines,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews
22,Bistro Le Steak,Le Bistrot d'Henri,"16 rue Princesse, 75006 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719036-Reviews-Le_Bistrot_d_Henri-Paris_Ile_de_France.html#REVIEWS,http://bistrotdhenri.fr/,,957,374,158,27,21,25
9,Alouette,Alouette Bistro,"567 Hornby St in the Hotel Le Soleil, Vancouver, British Columbia V6C 2E8 Canada",https://www.tripadvisor.com/Restaurant_Review-g154943-d23602211-Reviews-Alouette_Bistro-Vancouver_British_Columbia.html#REVIEWS,http://alouettevancouver.com/,"French, European",411,355,24,6,5,2
37,Café Gray,Grays Cafe & bar,"Brenchley Road Brenchley, Tonbridge, KENT, Brenchley, Royal Tunbridge Wells TN12 7NX England",https://www.tripadvisor.com/Restaurant_Review-g2549607-d6556226-Reviews-Grays_Cafe_bar-Brenchley_Royal_Tunbridge_Wells_Kent_England.html#REVIEWS,http://grays-cafe-bar.business.site/,"British, Cafe",60,46,10,1,1,2
10,Arabelle,Oakenhurst Farm Brewers Fayre,"Riversway Drive Off Eccleshill Road, Blackburn BB3 0SN England",https://www.tripadvisor.com/Restaurant_Review-g580406-d4174640-Reviews-Oakenhurst_Farm_Brewers_Fayre-Blackburn_Lancashire_England.html#REVIEWS,https://www.brewersfayre.co.uk/en-gb/locations/lancashire/oakenhurst-farm?cid=yext_41519100,,720,418,104,61,65,71
23,Bistro Les Amis,Le Bistro des Amis,"1 Jerry Croft, Skipton BD23 1DX England",https://www.tripadvisor.com/Restaurant_Review-g209940-d2150060-Reviews-Le_Bistro_des_Amis-Skipton_North_Yorkshire_England.html#REVIEWS,http://www.lebistrodesamis.co.uk/,"French, European",1524,1059,272,111,52,23
38,Café Pierre,Café Saint Pierre,"Place Benjamin Constant 1, Lausanne 1003 Switzerland",https://www.tripadvisor.com/Restaurant_Review-g188107-d3404960-Reviews-Cafe_Saint_Pierre-Lausanne_Canton_of_Vaud.html#REVIEWS,http://www.cafesaintpierre.ch/,,261,11,21,12,6,3
11,Artisanal,Artisanal,"2 Zirini, Kifissia 145 62 Greece",https://www.tripadvisor.com/Restaurant_Review-g1026500-d7655565-Reviews-Artisanal-Kifissia_Attica.html#REVIEWS,http://www.artisanal.gr/,,592,89,43,17,13,5
24,Bouley,Chez Boulay-bistro boreal,"1110 Rue Saint-Jean, Quebec City, Quebec G1R 1S4 Canada",https://www.tripadvisor.com/Restaurant_Review-g155033-d3169110-Reviews-Chez_Boulay_bistro_boreal-Quebec_City_Quebec.html#REVIEWS,http://www.chezboulay.com/,"French, Canadian",2742,1187,342,95,26,16
39,CamaJe,Abigail's Kitchen,"85 Macdougal St, New York City, NY 10012-2504",https://www.tripadvisor.com/Restaurant_Review-g60763-d423297-Reviews-Abigail_s_Kitchen-New_York_City_New_York.html#REVIEWS,http://www.abigailskitchennyc.com/,,82,42,14,9,2,9
12,Asiate,Clement at The Peninsula New York,"700 Fifth Avenue at 55th Street At 55th Street, New York City, NY 10019",https://www.tripadvisor.com/Restaurant_Review-g60763-d1368150-Reviews-Clement_at_The_Peninsula_New_York-New_York_City_New_York.html#REVIEWS,http://peninsula.com/clement,,238,121,47,18,9,4
